,0
955,4
956,3
957,2
958,4
959,1
960,9
961,9
962,2
963,5
964,4
965,6
966,3
967,7
968,9
969,7
970,6
971,7
972,2
973,1
974,0
975,8
976,1
977,4
978,5
979,6
980,4
981,3
982,7
983,2
984,4
985,0
986,1
987,5
988,7
989,6
990,4
991,3
992,1
993,4
994,5
995,3
996,2
997,5
998,0
999,7
1000,5
1001,2
1002,0
1003,3
1004,7
1005,6
1006,3
1007,5
1008,2
1009,2
1010,7
1011,4
1012,0
1013,4
1014,2
1015,9
1016,7
1017,9
1018,9
1019,4
1020,2
1021,5
1022,2
1023,6
1024,6
1025,2
1026,8
1027,4
1028,5
1029,8
1030,3
1031,2
1032,5
1033,4
1034,6
1035,7
1036,5
1037,9
1038,8
1039,5
1040,7
1041,3
1042,2
1043,2
1044,5
1045,8
1046,8
1047,8
1048,1
1049,2
1050,3
1051,2
1052,4
1053,9
1054,6
1055,5
1056,5
1057,5
1058,4
1059,2
1060,2
1061,4
1062,2
1063,1
1064,6
1065,2
1066,1
1067,9
1068,5
1069,0
1070,3
1071,4
1072,3
1073,2
1074,0
1075,5
1076,8
1077,4
1078,2
1079,7
1080,2
1081,5
1082,5
1083,8
1084,2
1085,3
1086,2
1087,0
1088,2
1089,2
1090,0
1091,0
1092,7
1093,4
1094,4
1095,3
1096,0
1097,1
1098,9
1099,5
1100,9
1101,0
1102,7
1103,2
1104,3
1105,4
1106,8
1107,8
1108,8
1109,9
1110,0
1111,5
1112,3
1113,8
1114,0
1115,9
1116,4
1117,3
1118,3
1119,3
1120,4
1121,4
1122,7
1123,2
1124,9
1125,9
1126,7
1127,0
1128,2
1129,4
1130,5
1131,3
1132,8
1133,8
1134,8
1135,4
1136,9
1137,3
1138,2
1139,6
1140,9
1141,8
1142,9
1143,2
1144,7
1145,2
1146,7
1147,0
1148,7
1149,0
1150,4
1151,2
1152,0
1153,4
1154,6
1155,9
1156,5
1157,6
1158,4
1159,4
1160,9
1161,3
1162,5
1163,5
1164,5
1165,5
1166,1
1167,8
1168,1
1169,2
1170,9
1171,0
1172,4
1173,2
1174,1
1175,9
1176,6
1177,5
1178,6
1179,2
1180,7
1181,0
1182,4
1183,9
1184,4
1185,5
1186,5
1187,2
1188,8
1189,7
1190,0
1191,0
1192,4
1193,7
1194,9
1195,4
1196,9
1197,7
1198,8
1199,4
1200,9
1201,0
1202,2
1203,8
1204,2
1205,5
1206,8
1207,3
1208,7
1209,2
1210,8
1211,7
1212,6
1213,1
1214,4
1215,7
1216,2
1217,2
1218,8
1219,9
1220,3
1221,2
1222,6
1223,0
1224,4
1225,8
1226,0
1227,4
1228,5
1229,5
1230,0
1231,0
1232,3
1233,2
1234,4
1235,0
1236,5
1237,0
1238,9
1239,1
1240,7
1241,7
1242,7
1243,2
1244,3
1245,9
1246,4
1247,9
1248,5
1249,8
1250,0
1251,9
1252,7
1253,1
1254,0
1255,0
1256,8
1257,5
1258,1
1259,6
1260,9
1261,9
1262,8
1263,5
1264,5
1265,0
1266,9
1267,5
1268,1
1269,2
1270,9
1271,3
1272,8
1273,5
1274,2
1275,3
1276,7
1277,5
1278,9
1279,4
1280,9
1281,0
1282,1
1283,0
1284,2
1285,4
1286,5
1287,2
1288,5
1289,7
1290,9
1291,8
1292,6
1293,6
1294,4
1295,2
1296,7
1297,7
1298,9
1299,4
1300,7
1301,1
1302,7
1303,5
1304,4
1305,0
1306,8
1307,3
1308,3
1309,5
1310,8
1311,3
1312,2
1313,4
1314,5
1315,6
1316,0
1317,8
1318,2
1319,9
1320,5
1321,3
1322,0
1323,9
1324,6
1325,8
1326,2
1327,9
1328,7
1329,8
1330,8
1331,7
1332,9
1333,9
1334,3
1335,8
1336,0
1337,7
1338,2
1339,6
1340,4
1341,0
1342,6
1343,5
1344,4
1345,0
1346,4
1347,8
1348,0
1349,0
1350,9
1351,4
1352,8
1353,4
1354,9
1355,0
1356,9
1357,8
1358,7
1359,4
1360,4
1361,3
1362,2
1363,1
1364,0
1365,8
1366,3
1367,4
1368,4
1369,1
1370,9
1371,2
1372,9
1373,1
1374,2
1375,0
1376,9
1377,2
1378,0
1379,8
1380,5
1381,1
1382,8
1383,0
1384,8
1385,0
1386,3
1387,8
1388,0
1389,0
1390,8
1391,5
1392,3
1393,3
1394,0
1395,8
1396,5
1397,5
1398,2
1399,7
1400,3
1401,9
1402,0
1403,4
1404,8
1405,7
1406,0
1407,4
1408,7
1409,0
1410,0
1411,8
1412,2
1413,5
1414,0
1415,0
1416,0
1417,6
1418,0
1419,1
1420,5
1421,9
1422,8
1423,5
1424,0
1425,3
1426,0
1427,2
1428,3
1429,0
1430,0
1431,0
1432,2
1433,3
1434,2
1435,2
1436,7
1437,3
1438,9
1439,0
1440,9
1441,2
1442,9
1443,6
1444,8
1445,0
1446,8
1447,6
1448,2
1449,0
1450,4
1451,4
1452,7
1453,2
1454,6
1455,8
1456,1
1457,4
1458,3
1459,9
1460,4
1461,9
1462,8
1463,6
1464,5
1465,8
1466,8
1467,2
1468,4
1469,2
1470,4
1471,3
1472,1
1473,1
1474,5
1475,8
1476,6
1477,5
1478,9
1479,7
1480,9
1481,1
1482,0
1483,4
1484,9
1485,0
1486,8
1487,8
1488,9
1489,8
1490,8
1491,4
1492,4
1493,2
1494,9
1495,4
1496,0
1497,2
1498,0
1499,2
1500,8
1501,6
1502,5
1503,3
1504,0
1505,0
1506,4
1507,4
1508,5
1509,0
1510,7
1511,8
1512,9
1513,8
1514,8
1515,3
1516,2
1517,1
1518,4
1519,7
1520,5
1521,3
1522,7
1523,2
1524,6
1525,2
1526,8
1527,9
1528,5
1529,3
1530,4
1531,8
1532,4
1533,1
1534,7
1535,4
1536,2
1537,9
1538,8
1539,0
1540,5
1541,0
1542,6
1543,0
1544,7
1545,2
1546,9
1547,3
1548,2
1549,9
1550,8
1551,3
1552,9
1553,9
1554,3
1555,4
1556,5
1557,8
1558,2
1559,3
1560,4
1561,3
1562,4
1563,3
1564,5
1565,5
1566,4
1567,5
1568,6
1569,2
1570,9
1571,4
1572,3
1573,9
1574,0
1575,4
1576,7
1577,5
1578,0
1579,0
1580,0
1581,7
1582,3
1583,0
1584,6
1585,4
1586,2
1587,2
1588,7
1589,5
1590,7
1591,9
1592,9
1593,6
1594,3
1595,9
1596,5
1597,9
1598,4
1599,0
1600,5
1601,8
1602,0
1603,5
1604,9
1605,8
1606,9
1607,2
1608,7
1609,7
1610,2
1611,2
1612,6
1613,5
1614,0
1615,7
1616,6
1617,7
1618,3
1619,5
1620,7
1621,3
1622,2
1623,8
1624,5
1625,7
1626,7
1627,1
1628,7
1629,8
1630,3
1631,3
1632,9
1633,7
1634,6
1635,4
1636,7
1637,8
1638,5
1639,7
1640,9
1641,4
1642,3
1643,3
1644,7
1645,4
1646,7
1647,3
1648,2
1649,7
1650,0
1651,0
1652,5
1653,3
1654,9
1655,3
1656,9
1657,4
1658,8
1659,3
1660,5
1661,5
1662,0
1663,7
1664,8
1665,3
1666,8
1667,3
1668,7
1669,2
1670,8
1671,5
1672,4
1673,0
1674,0
1675,3
1676,7
1677,2
1678,2
1679,5
1680,0
1681,9
1682,8
1683,9
1684,6
1685,4
1686,2
1687,6
1688,3
1689,0
1690,0
1691,6
1692,8
1693,8
1694,1
1695,1
1696,8
1697,9
1698,9
1699,8
1700,2
1701,5
1702,1
1703,4
1704,9
1705,4
1706,7
1707,0
1708,4
1709,7
1710,0
1711,5
1712,7
1713,2
1714,1
1715,7
1716,5
1717,2
1718,4
1719,5
1720,2
1721,8
1722,8
1723,5
1724,0
1725,0
1726,9
1727,3
1728,0
1729,5
1730,7
1731,4
1732,4
1733,2
1734,2
1735,3
1736,2
1737,7
1738,0
1739,2
1740,7
1741,8
1742,3
1743,1
1744,1
1745,2
1746,2
